Ticker_Y,Ticker_X,Sector,Score,Coint_P,Correlation,ADF_P,Half_Life,Hedge_Ratio
BAC,PNC,Banking,110,0.0016,0.981,0.0003,18.2,0.218
WFC,MS,Banking,100,0.0028,0.838,0.0004,37.7,0.3863
WFC,GS,Banking,100,0.0044,0.851,0.0008,39.5,0.1072
VMC,MLM,Materials,95,0.0298,0.989,0.001,20.6,0.4048
UNH,ABBV,Healthcare,95,0.0264,0.952,0.0063,27.6,3.1752
LIN,VMC,Materials,95,0.0376,0.924,0.0096,29.2,1.7556
CVX,OXY,Energy,85,0.0147,0.973,0.01,27.3,1.6739
SO,SRE,Utilities,85,0.0374,0.915,0.0095,32.8,0.8619
BA,HON,Industrials,85,0.0051,0.407,0.0045,46.6,0.7722
BA,GE,Industrials,85,0.0063,0.544,0.0029,39.4,1.3115
COP,EOG,Energy,85,0.0461,0.991,0.0122,24.1,0.9453
BA,CAT,Industrials,80,0.0067,0.225,0.0073,45.7,0.2132
AEP,EXC,Utilities,77,0.0259,0.784,0.0061,31.6,0.8458
T,VZ,Telecom,70,0.0147,0.551,0.0097,33.3,0.149
WMT,MCD,Consumer,67,0.046,0.766,0.0122,32.0,0.0998
JNJ,TMO,Healthcare,67,0.0973,0.798,0.0094,29.6,0.1192
T,TMUS,Telecom,65,0.0174,-0.262,0.0111,28.9,-0.0206
T,CHTR,Telecom,65,0.0158,0.276,0.0067,31.6,0.003
CVX,EOG,Energy,65,0.0945,0.981,0.0195,28.0,1.048
PG,COST,Consumer,65,0.0223,0.888,0.0528,31.6,0.1275
PEP,MCD,Consumer,60,0.2514,0.958,0.0057,23.8,0.5624
AEP,SRE,Utilities,60,0.3103,0.862,0.0084,27.1,0.7548
JNJ,UNH,Healthcare,60,0.118,0.852,0.0089,28.4,0.1211
LIN,MLM,Materials,55,0.0935,0.921,0.0286,39.0,0.7169
MSFT,ORCL,Tech,55,0.0844,0.918,0.0253,34.8,2.5458
