Pair,Cost_Bps,F_Sharpe
PNC/CFG,0,0.7992896511852786
PNC/CFG,2,0.7944241487574712
PNC/CFG,5,0.7871295878875058
PNC/CFG,10,0.7749821012624523
PNC/CFG,20,0.7507268664843908
PNC/CFG,30,0.7265279699125129
FCX/VMC,0,0.6649006152596628
FCX/VMC,2,0.6555101943923302
FCX/VMC,5,0.6414327869432979
FCX/VMC,10,0.61799760846195
FCX/VMC,20,0.571263899377548
FCX/VMC,30,0.5247750874058928
EMR/WM,0,0.3674403554883329
EMR/WM,2,0.35409307663523865
EMR/WM,5,0.3341164847807887
EMR/WM,10,0.30095120232051803
EMR/WM,20,0.23517544677358196
EMR/WM,30,0.17026451744202536
