Pair,Coint_Frac_Pre,Coint_Frac_Post,Corr_Mean_Pre,Corr_Mean_Post,Hurst_Med_Pre,Hurst_Med_Post
SCHW/RF,0.06859205776173286,0.09292035398230089,0.741012882634862,0.6161243051726629,1.0,1.0
AMGN/SYK,0.036101083032490974,0.02654867256637168,0.38936726622264556,0.2642864451805042,1.0,1.0
BAC/PNC,0.11552346570397112,0.09734513274336283,0.8509544426104838,0.8157433826992831,1.0,0.98750709067615
VMC/MLM,0.1588447653429603,0.11504424778761062,0.8275309690750348,0.9193602609667846,1.0,1.0
LIN/VMC,0.1624548736462094,0.04424778761061947,0.3805827948502727,0.4494662976288403,0.9955108556684095,1.0
EMR/WM,0.09025270758122744,0.084070796460177,0.382523906243792,0.3206760554620118,1.0,1.0
CAT/CTAS,0.05415162454873646,0.02654867256637168,0.4224771579667256,0.33119886993149816,1.0,1.0
CAT/EMR,0.05415162454873646,0.061946902654867256,0.7044153886306962,0.6548842176513765,1.0,1.0
HON/NSC,0.10469314079422383,0.035398230088495575,0.5623409963961903,0.4969453217610058,1.0,1.0
SRE/ED,0.10469314079422383,0.12389380530973451,0.6246056520893359,0.6592272332831037,1.0,1.0
AMZN/DPZ,0.032490974729241874,0.084070796460177,0.2985852659078065,0.28331405307942,1.0,1.0
CL/CMG,0.04332129963898917,0.0752212389380531,0.13350994100072683,0.08830703108988025,0.9991963756292651,1.0
PNC/FITB,0.07220216606498195,0.11504424778761062,0.8525588198397505,0.8658260245793422,1.0,0.9900074252321138
AVGO/IBM,0.06498194945848375,0.09292035398230089,0.37884917418795644,0.2684976248010391,1.0,1.0
GOOGL/INTU,0.10469314079422383,0.07964601769911504,0.5272228176968192,0.5390227521398282,1.0,0.9993825672866756
AMD/QCOM,0.039711191335740074,0.11946902654867257,0.3400076384997798,0.6147189116501659,1.0,1.0
MSFT/INTU,0.12274368231046931,0.048672566371681415,0.6293514798853603,0.6080809815659904,1.0,0.99303590907088
QCOM/TSLA,0.05054151624548736,0.05752212389380531,0.2281324000294716,0.4159063143936217,1.0,1.0
GOOGL/AMD,0.1299638989169675,0.061946902654867256,0.328086677220003,0.49682025706007155,0.9971859804990766,1.0
KMI/WMB,0.07581227436823104,0.022123893805309734,0.6424691806087737,0.8285340749220245,1.0,1.0
PSX/MPC,0.018050541516245487,0.022123893805309734,0.7364468355513727,0.8267410465024938,1.0,1.0
KMB/DPZ,0.09747292418772563,0.05752212389380531,0.17240010949547468,0.12073990039320776,1.0,1.0
KMB/CMG,0.02888086642599278,0.084070796460177,0.14083240302106542,0.06348075083978814,1.0,1.0
TJX/ORLY,0.1552346570397112,0.084070796460177,0.42486698223673924,0.3740097105618188,0.9829819099764654,1.0
EOG/FANG,0.1263537906137184,0.061946902654867256,0.7716858665724099,0.8171779392948465,0.9912426044749448,1.0
SBUX/KMB,0.04332129963898917,0.06637168141592921,0.32364116408271165,0.1644886637967166,1.0,1.0
KMB/MDLZ,0.09386281588447654,0.04424778761061947,0.506248899776798,0.5046439023246075,1.0,1.0
SRE/FE,0.17328519855595667,0.022123893805309734,0.526361833852153,0.6072740767068167,0.9983625392644447,1.0
DUK/PEG,0.02527075812274368,0.11946902654867257,0.7395340591362558,0.6711830934070894,1.0,0.9910033413218247
AEP/SRE,0.10469314079422383,0.07964601769911504,0.6417433063462478,0.6519128389220086,0.9951646107425598,1.0
