Feature,Mean_Abs_SHAP,Gini_Importance,Perm_Importance_Mean,Mean_Abs_SHAP_rank,Gini_Importance_rank,Perm_Importance_Mean_rank,Avg_Rank,Consensus_Rank
vol_20,0.0813373016721955,0.18774233854890127,0.0557726465364121,1.0,1.0,1.0,1.0,1
pair_vol,0.02422389629819675,0.04936298594365507,0.01944937833037299,6.0,9.0,3.0,6.0,2
pair_vol_spike,0.02116670789750201,0.04765037774170462,0.0411190053285968,9.0,10.0,2.0,7.0,3
range_expansion,0.03898410348994851,0.11223030402226489,-0.005417406749555942,3.0,3.0,17.0,7.666666666666667,4
vol_10,0.04822210394317941,0.11352819393590409,-0.015364120781527536,2.0,2.0,21.0,8.333333333333334,5
dd_60,0.03561156394020783,0.09967581209034261,-0.007460035523978681,4.0,4.0,20.0,9.333333333333334,6
vol_60,0.021306657364087985,0.06353412814788402,-0.0023978685612788485,8.0,6.0,15.0,9.666666666666666,7
vol_40,0.027419835131523462,0.07958571510380218,-0.006483126110124327,5.0,5.0,19.0,9.666666666666666,8
vol_accel,0.009552270247713174,0.021385991371364103,0.010213143872113684,12.0,13.0,4.0,9.666666666666666,9
vol_5,0.021720780299047945,0.050582223234543505,-0.004262877442273527,7.0,8.0,16.0,10.333333333333334,10
dd_40,0.019970070007788387,0.05153097115954322,-0.005772646536412074,10.0,7.0,18.0,11.666666666666666,11
corr_change,0.008238197964536287,0.01834690274326333,0.001687388987566607,15.0,15.0,6.0,12.0,12
pair_corr,0.013445977876149005,0.03181567101794216,-0.0023090586145648297,11.0,11.0,14.0,12.0,13
trend_strength,0.008611109352761347,0.023084153366179364,-0.000976909413854321,13.0,12.0,11.0,12.0,14
vol_trend,0.007329113725941855,0.012920450493765208,0.003907637655417418,16.0,16.0,5.0,12.333333333333334,15
ret_20,0.00837633558064545,0.019614358677661117,-0.0015097690941385355,14.0,14.0,13.0,13.666666666666666,16
trend,0.0019986012579682865,0.0033604152162750403,-0.0002664298401420906,18.0,18.0,9.0,15.0,17
dd_20,0.004538974825043417,0.007998553562182875,-0.0010657193605683624,17.0,17.0,12.0,15.333333333333334,18
ret_10,0.0008334705180841735,0.001628954538510713,-8.880994671403019e-05,20.0,20.0,8.0,16.0,19
dd_10,0.001788248891189161,0.0029472829723479494,-0.00035523978685612077,19.0,19.0,10.0,16.0,20
ret_5,0.0007774518334097999,0.001474216111962566,0.00017761989342806038,21.0,21.0,7.0,16.333333333333332,21
