Feature,Mean_Abs_SHAP,Gini_Importance,Perm_Importance_Mean,Mean_Abs_SHAP_rank,Gini_Importance_rank,Perm_Importance_Mean_rank,Avg_Rank,Consensus_Rank
pair_corr,0.09513936020016528,0.25124513443553514,0.05301953818827705,1.0,1.0,2.0,1.3333333333333333,1
vol_20,0.06843741798035458,0.13473871759234085,0.0781527531083481,2.0,2.0,1.0,1.6666666666666667,2
vol_10,0.037121479113725105,0.07879239465329849,0.005683836589697988,3.0,3.0,5.0,3.6666666666666665,3
pair_vol,0.02030145581066592,0.05305141283349807,0.004262877442273494,7.0,6.0,6.0,6.333333333333333,4
corr_change,0.022183839303164324,0.060662051639966276,-0.00044404973357018427,6.0,5.0,10.0,7.0,5
pair_vol_spike,0.0194580664084278,0.042894929297846246,0.00781527531083478,8.0,10.0,4.0,7.333333333333333,6
range_expansion,0.012797088130931503,0.04446074793617461,0.009591474245115417,12.0,9.0,3.0,8.0,7
vol_40,0.012996203052890943,0.04679120877154431,0.0007104795737122194,11.0,8.0,8.0,9.0,8
dd_60,0.03156006949833752,0.06714341866168437,-0.012877442273534679,4.0,4.0,20.0,9.333333333333334,9
dd_40,0.02449841181793985,0.04821932200919765,-0.010479573712255807,5.0,7.0,19.0,10.333333333333334,10
vol_5,0.016886664061901042,0.03309418556322477,-0.0012433392539965005,9.0,11.0,12.0,10.666666666666666,11
vol_60,0.008792359796780834,0.023550609054882023,0.0008880994671402797,16.0,13.0,7.0,12.0,12
vol_accel,0.009629180866417657,0.020020587466083227,0.00026642984014205726,15.0,14.0,9.0,12.666666666666666,13
vol_trend,0.011371584522962424,0.01873559811667226,-0.0024866785079929454,13.0,15.0,14.0,14.0,14
ret_20,0.015351391880658111,0.02424549292572912,-0.020515097690941418,10.0,12.0,21.0,14.333333333333334,15
trend_strength,0.006352079833967047,0.016317504941970592,-0.0005328596802842478,17.0,17.0,11.0,15.0,16
dd_20,0.010168369949706255,0.017708165291155882,-0.009769094138543544,14.0,16.0,18.0,16.0,17
trend,0.0042732569731119404,0.007923018718978731,-0.006571936056838379,18.0,18.0,17.0,17.666666666666668,18
ret_10,0.001462092722171934,0.00286436715161127,-0.0015985790408526545,21.0,20.0,13.0,18.0,19
dd_10,0.0031973618990978944,0.005046863958997871,-0.004085257548845511,19.0,19.0,16.0,18.0,20
ret_5,0.0017978485466128183,0.002494268979608214,-0.003197158081705198,20.0,21.0,15.0,18.666666666666668,21
