Feature,Mean_Abs_SHAP,Gini_Importance,Perm_Importance_Mean,Mean_Abs_SHAP_rank,Gini_Importance_rank,Perm_Importance_Mean_rank,Avg_Rank,Consensus_Rank
pair_corr,0.07729870511339078,0.20477899625269874,0.016518650088809938,1.0,1.0,3.0,1.6666666666666667,1
vol_20,0.07071417185777182,0.14387868529358733,0.048312611012433414,2.0,2.0,1.0,1.6666666666666667,2
pair_vol_spike,0.036047288727918146,0.06799967715052414,0.019982238010657193,3.0,6.0,2.0,3.6666666666666665,3
pair_vol,0.03160739209204928,0.08273272693888663,-0.0006216696269982114,5.0,4.0,7.0,5.333333333333333,4
range_expansion,0.03350170229925287,0.08410613679086919,-0.0017761989342806373,4.0,3.0,10.0,5.666666666666667,5
vol_accel,0.009085483113033825,0.018944580901269388,0.0031083481349911566,13.0,14.0,4.0,10.333333333333334,6
vol_40,0.0278082285264366,0.0723587469829718,-0.01705150976909412,6.0,5.0,21.0,10.666666666666666,7
vol_60,0.02476123350688322,0.05485236681586183,-0.013676731793960895,7.0,7.0,19.0,11.0,8
dd_60,0.01701749071479977,0.04754394938982827,-0.0061278863232682055,9.0,9.0,17.0,11.666666666666666,9
corr_change,0.01579695006901366,0.04546187820327557,-0.004795737122557731,10.0,10.0,16.0,12.0,10
vol_10,0.024425711379980185,0.05370095476231803,-0.01438721136767317,8.0,8.0,20.0,12.0,11
trend_strength,0.008836219462982565,0.030414652875212025,-0.0021314387211367357,14.0,11.0,12.0,12.333333333333334,12
vol_5,0.011947429318472196,0.025028942731710423,-0.006660746003552409,11.0,12.0,18.0,13.666666666666666,13
vol_trend,0.011151372139784219,0.018542990507443527,-0.0023090586145648297,12.0,15.0,14.0,13.666666666666666,14
dd_40,0.008158709068626023,0.020323288478651516,-0.003019538188277071,15.0,13.0,15.0,14.333333333333334,15
dd_20,0.003440613184230503,0.005750219884620111,-0.0007104795737122415,17.0,18.0,8.0,14.333333333333334,16
ret_20,0.005768926768581301,0.011380441246983137,-0.0018650088809946453,16.0,16.0,11.0,14.333333333333334,17
ret_5,0.0013981022673143068,0.0021155336645729654,-8.880994671403019e-05,20.0,20.0,5.5,15.166666666666666,18
dd_10,0.001579620408753063,0.0019778047781871155,-8.880994671403019e-05,19.0,21.0,5.5,15.166666666666666,19
trend,0.001969161354581212,0.005847398423583917,-0.002220248667850766,18.0,17.0,13.0,16.0,20
ret_10,0.0006549288597997648,0.002260027926944474,-0.001776198934280604,21.0,19.0,9.0,16.333333333333332,21
