Pair,Sector,Base_F_Sharpe,Sized_F_Sharpe,Base_F_MaxDD,Sized_F_MaxDD,RF_Sharpe,RFProb_Sharpe,RF_MaxDD,RFProb_MaxDD
SCHW_RF,Banking,0.10566559907183307,-0.29163303298584525,-0.3462442809904447,-0.10430701514342411,-0.2325,-0.1363,-76.79,-60.2
AMGN_SYK,Healthcare,0.0,0.0,0.0,0.0,-0.3025,-0.3474,-44.42,-40.03
BAC_PNC,Banking,0.007593710546243323,0.1781492471183018,-0.06716186035153894,-0.015747008150566746,-0.1132,0.0525,-33.84,-32.46
VMC_MLM,Materials,-0.17661037845193517,-0.20779166816224573,-0.05776505413278371,-0.01797465154333674,0.0856,-0.2185,-10.63,-16.82
LIN_VMC,Materials,-0.6108873338285953,-0.7189511788197505,-0.14167657791859467,-0.04771074545458909,-0.1133,0.4649,-49.63,-38.08
EMR_WM,Industrials,0.3341166041189196,0.2079798574226238,-0.07213714714269359,-0.020492638396828022,-0.3452,-0.4792,-30.28,-33.18
CAT_CTAS,Industrials,-0.18092696400542851,-0.4197209120142222,-0.09421050677253158,-0.025245419854083163,-0.3514,-0.1626,-52.65,-38.41
CAT_EMR,Industrials,-0.3664789970631288,-0.5059304071677069,-0.1426202937878479,-0.04406007810158563,0.2064,0.314,-51.74,-42.07
HON_NSC,Industrials,0.03069997488064603,0.4154310570219901,-0.022853583363453178,-0.003482767656416844,-0.3099,-0.1754,-25.61,-24.21
SRE_ED,Utilities,-0.5685948237842686,-0.719622346500512,-0.09672362698490784,-0.04210700150598467,-0.2674,-0.0598,-31.37,-20.84
AMZN_DPZ,Consumer,0.05046367832411779,0.00046315906398847895,-0.08584329639264758,-0.024247080667357184,0.4869,0.2545,-31.62,-28.19
CL_CMG,Consumer,0.0,0.0,0.0,0.0,-0.5454,-0.7849,-86.43,-77.83
PNC_FITB,Banking,-0.27707033477584975,-0.4803368766624411,-0.4915776732760619,-0.1597065458171379,-0.4264,-0.3526,-84.9,-83.36
AVGO_IBM,Tech,0.17083906105333538,0.061990059845352254,-0.07796309435308522,-0.02365783855091663,0.2727,0.1526,-26.95,-33.34
GOOGL_INTU,Tech,-0.5536992935762083,-0.5601756760817458,-0.14710124441437178,-0.030814611990144992,0.0538,0.2043,-25.6,-27.16
AMD_QCOM,Tech,-0.5946211581173939,-0.4516378993032125,-0.24762488071404548,-0.06767637702935234,-0.3123,-0.0963,-40.61,-39.9
MSFT_INTU,Tech,-0.8457271389433741,-1.1580618095760027,-0.12569161326117728,-0.042633119644395645,-0.0864,0.0074,-19.63,-19.39
QCOM_TSLA,Tech,0.2337071218766737,0.2368093573525703,-0.07675274207590503,-0.02357931118079662,-0.1892,-0.1398,-63.77,-62.61
GOOGL_AMD,Tech,-0.8426014689835513,-1.128354057931973,-0.35015698739369255,-0.11617045980606833,-0.6077,-0.4743,-62.06,-51.13
KMI_WMB,Energy,0.3819864350158757,0.0014570969162951335,-0.019847746779265107,-0.0041887695265640686,-0.546,-0.3605,-18.57,-14.86
PSX_MPC,Energy,-0.2567117593673217,-0.8266963766272957,-0.027266704893959104,-0.008493493536716024,-0.1692,0.0625,-26.14,-14.18
KMB_DPZ,Consumer,-0.6314493904701133,-0.24954777230539202,-0.02576340359709909,-0.006291250647199591,-0.115,-0.1437,-26.57,-21.02
KMB_CMG,Consumer,0.8190797783511358,0.6469381917603328,-0.08055432900340057,-0.020042772942105214,0.1279,0.2028,-68.22,-61.2
TJX_ORLY,Retail,-0.22163410635707054,-0.20288212241772574,-0.11433883556234792,-0.035215536105919085,0.0792,-0.0084,-45.26,-44.36
EOG_FANG,Energy,-0.2676100600640019,-0.39099639175820233,-0.04837194448362592,-0.018061619654654738,-0.1378,0.1261,-18.49,-21.56
SBUX_KMB,Consumer,-0.5856243933712982,-0.4949077350758036,-0.05160546980826175,-0.02362821565194384,-0.284,-0.4435,-31.77,-33.35
KMB_MDLZ,Consumer,-0.6782643682957421,-0.23285285643636436,-0.10149101500797064,-0.017719987752595312,-0.4863,-0.2238,-37.93,-30.83
SRE_FE,Utilities,-0.8851102248388758,-0.7433949560355587,-0.12436339671966357,-0.024968826082657825,-0.0524,-0.306,-30.73,-32.24
DUK_PEG,Utilities,0.08383145791318164,0.09158118574526176,-0.07254406224797202,-0.021929159165897563,0.0914,-0.0949,-36.32,-38.4
AEP_SRE,Utilities,0.2757444691230744,0.3865941019693647,-0.05638085584555044,-0.009946742323220834,0.2379,0.1752,-19.05,-15.53
VMC_STLD,Materials,0.6888590130699631,0.7404524463633341,-0.15033813958985753,-0.031878951070812185,0.5361,0.7712,-41.3,-40.59
LIN_MLM,Materials,0.19045534742488446,0.18546266270406334,-0.02465185164235862,-0.007437988005556801,0.0227,-0.2737,-32.29,-32.82
UNH_TMO,Healthcare,-0.37582513904669484,-1.0229416177208246,-0.11982945551513534,-0.04896878185950344,-0.7012,-0.2686,-53.59,-45.88
JPM_AXP,Banking,-0.16722305543980684,-0.1787497807714335,-0.007350338537085274,-0.0022051015611255233,-0.3689,-0.2622,-29.34,-24.4
