Pair,F_Sharpe,F_Lo_CI,F_CI_Excl_Zero,UF_Sharpe,UF_Lo_CI,N
BAC/PNC,0.0076,"[-0.051, 0.066]",False,-0.1258,"[-0.184, -0.067]",1126
WFC/MS,-0.2627,"[-0.322, -0.203]",False,-0.0449,"[-0.103, 0.014]",1126
CVX/OXY,0.1184,"[0.060, 0.177]",True,-0.6135,"[-0.677, -0.550]",1126
AEP/SRE,0.2814,"[0.222, 0.341]",True,0.2197,"[0.161, 0.279]",1126
CVX/COP,0.4446,"[0.383, 0.506]",True,-0.3909,"[-0.452, -0.330]",1126
VMC/MLM,-0.1766,"[-0.235, -0.118]",False,0.0642,"[0.006, 0.123]",1126
LIN/VMC,-0.6109,"[-0.675, -0.547]",False,-0.12,"[-0.179, -0.061]",1126
JNJ/UNH,-0.493,"[-0.555, -0.431]",False,-0.142,"[-0.201, -0.083]",1126
GOOGL/AMD,-0.8426,"[-0.911, -0.775]",False,-0.612,"[-0.676, -0.548]",1126
KO/COST,0.8351,"[0.767, 0.903]",True,-0.0668,"[-0.125, -0.008]",1126
HON/DE,0.426,"[0.365, 0.487]",True,-0.8012,"[-0.868, -0.734]",1126
USB/TFC,-0.2144,"[-0.273, -0.155]",False,-0.3182,"[-0.378, -0.258]",1126
