Pair,Trades,Trades_Per_Year,Avg_Hold_Days,Med_Hold_Days,In_Position_Frac
SCHW/RF,8,1.7904085257548845,6.5,6.0,0.046181172291296625
AMGN/SYK,0,0.0,0.0,0.0,0.0
BAC/PNC,8,1.7904085257548845,4.375,3.5,0.03108348134991119
VMC/MLM,13,2.9094138543516874,3.4615384615384617,3.0,0.03996447602131439
LIN/VMC,6,1.3428063943161634,5.5,5.0,0.02930728241563055
EMR/WM,10,2.238010657193606,5.2,4.0,0.046181172291296625
CAT/CTAS,1,0.22380106571936056,12.0,12.0,0.010657193605683837
CAT/EMR,2,0.44760213143872113,4.5,4.5,0.007992895204262877
HON/NSC,3,0.6714031971580817,5.0,3.0,0.013321492007104795
SRE/ED,11,2.4618117229129663,6.0,6.0,0.0586145648312611
AMZN/DPZ,9,2.0142095914742453,5.888888888888889,5.0,0.04706927175843695
CL/CMG,0,0.0,0.0,0.0,0.0
PNC/FITB,9,2.0142095914742453,7.0,8.0,0.05595026642984014
AVGO/IBM,4,0.8952042628774423,10.25,5.5,0.03641207815275311
GOOGL/INTU,4,0.8952042628774423,4.5,4.5,0.015985790408525755
AMD/QCOM,10,2.238010657193606,7.2,6.0,0.06394316163410302
MSFT/INTU,3,0.6714031971580817,11.333333333333334,11.0,0.03019538188277087
QCOM/TSLA,3,0.6714031971580817,5.0,4.0,0.013321492007104795
GOOGL/AMD,7,1.566607460035524,5.571428571428571,6.0,0.03463587921847247
KMI/WMB,2,0.44760213143872113,6.0,6.0,0.010657193605683837
PSX/MPC,1,0.22380106571936056,10.0,10.0,0.008880994671403197
KMB/DPZ,2,0.44760213143872113,4.5,4.5,0.007992895204262877
KMB/CMG,2,0.44760213143872113,14.0,14.0,0.02486678507992895
TJX/ORLY,6,1.3428063943161634,6.666666666666667,6.0,0.035523978685612786
EOG/FANG,6,1.3428063943161634,6.166666666666667,6.0,0.03285968028419183
SBUX/KMB,2,0.44760213143872113,3.5,3.5,0.006216696269982238
KMB/MDLZ,2,0.44760213143872113,12.5,12.5,0.022202486678507993
SRE/FE,3,0.6714031971580817,6.666666666666667,9.0,0.017761989342806393
DUK/PEG,7,1.566607460035524,4.375,4.0,0.03108348134991119
AEP/SRE,7,1.566607460035524,8.285714285714286,10.0,0.05150976909413854
VMC/STLD,5,1.119005328596803,7.0,6.0,0.03108348134991119
LIN/MLM,3,0.6714031971580817,4.0,3.0,0.010657193605683837
UNH/TMO,6,1.3428063943161634,6.833333333333333,5.5,0.03641207815275311
JPM/AXP,1,0.22380106571936056,3.0,3.0,0.0026642984014209592
USB/TFC,2,0.44760213143872113,11.0,11.0,0.019538188277087035
SCHW/FITB,9,2.0142095914742453,5.222222222222222,5.0,0.041740674955595025
FCX/MLM,3,0.6714031971580817,9.0,9.0,0.015985790408525755
SYK/ISRG,4,0.8952042628774423,8.25,8.0,0.02930728241563055
JNJ/ZTS,1,0.22380106571936056,4.0,4.0,0.003552397868561279
JNJ/UNH,3,0.6714031971580817,16.0,10.0,0.04262877442273535
ETN/CTAS,2,0.44760213143872113,4.5,4.5,0.007992895204262877
LMT/ITW,1,0.22380106571936056,10.0,10.0,0.008880994671403197
FCX/VMC,7,1.566607460035524,5.285714285714286,5.0,0.03285968028419183
PPL/NRG,1,0.22380106571936056,10.0,10.0,0.008880994671403197
NEE/XEL,3,0.6714031971580817,4.0,4.0,0.010657193605683837
ABBV/AMGN,2,0.44760213143872113,3.0,3.0,0.0053285968028419185
VLO/FANG,2,0.44760213143872113,10.0,10.0,0.017761989342806393
PSX/FANG,4,0.8952042628774423,6.25,7.0,0.022202486678507993
CVX/VLO,5,1.119005328596803,5.6,5.0,0.02486678507992895
KR/AZO,8,1.7904085257548845,5.875,5.0,0.041740674955595025
ORLY/AZO,2,0.44760213143872113,9.0,9.0,0.015985790408525755
KR/ORLY,3,0.6714031971580817,5.0,5.0,0.013321492007104795
HD/LOW,3,0.6714031971580817,9.0,9.0,0.023978685612788632
TJX/AZO,2,0.44760213143872113,4.5,4.5,0.007992895204262877
CAT/WM,2,0.44760213143872113,3.5,3.5,0.006216696269982238
EMR/CTAS,3,0.6714031971580817,7.0,10.0,0.018650088809946713
TFC/KEY,4,0.8952042628774423,6.5,5.0,0.023090586145648313
PNC/CFG,14,3.133214920071048,6.642857142857143,6.5,0.08259325044404973
QCOM/INTU,4,0.8952042628774423,5.25,5.5,0.018650088809946713
TGT/NKE,3,0.6714031971580817,9.333333333333334,10.0,0.02486678507992895
