Pair,p_value,p_bh,significant
JPM_AXP,1.0090139593624666e-24,6.054083756174799e-23,True
PG_MDLZ,1.0090139593624666e-24,3.0270418780873996e-23,True
ABBV_AMGN,2.4792721240013542e-24,4.958544248002708e-23,True
BMY_CVS,3.875449258677885e-24,5.813173888016827e-23,True
KMI_WMB,2.270998546810306e-23,2.7251982561723675e-22,True
NEE_XEL,3.5169649440987656e-23,3.5169649440987654e-22,True
NOC_ITW,8.387753498235659e-23,7.189502998487708e-22,True
CHTR_CCI,1.2917329513630113e-22,9.687997135222584e-22,True
COP_VLO,1.9856030164532775e-22,1.323735344302185e-21,True
LIN_MLM,1.0881870589173293e-21,6.529122353503975e-21,True
EOG_VLO,3.822519229752026e-21,2.0850104889556505e-20,True
HD_LOW,1.3205404898532686e-20,6.602702449266343e-20,True
KMB_MDLZ,4.486605478349314e-20,2.0707409900073756e-19,True
PSX_MPC,1.0046451961909914e-19,4.305622269389963e-19,True
KO_COST,2.2330453555760776e-19,8.93218142230431e-19,True
LMT_NOC,1.5925062911860826e-18,5.9718985919478096e-18,True
DUK_PEG,2.345931331253263e-18,8.2797576397174e-18,True
MS_BLK,2.345931331253263e-18,7.819771104177544e-18,True
MCD_MDLZ,2.345931331253263e-18,7.408204203957673e-18,True
BAC_SCHW,2.345931331253263e-18,7.03779399375979e-18,True
LMT_ITW,3.4494450824677916e-18,9.855557378479404e-18,True
SRE_FE,5.062712388287887e-18,1.380739742260333e-17,True
DUK_SO,7.416818258115406e-18,1.9348221542909754e-17,True
PG_MCD,7.416818258115406e-18,1.8542045645288516e-17,True
CVX_VLO,1.084557686268679e-17,2.6029384470448297e-17,True
CVX_COP,1.084557686268679e-17,2.5028254298507976e-17,True
BAC_PNC,2.3063526463490153e-17,5.125228102997812e-17,True
AAPL_AMD,2.3063526463490153e-17,4.9421842421764613e-17,True
CCI_SBAC,3.3540095674029794e-17,6.93933013945444e-17,True
AMD_QCOM,7.054186498753916e-17,1.4108372997507832e-16,True
VMC_MLM,3.0524012033426885e-16,5.9078732967923e-16,True
JNJ_TMO,3.0524012033426885e-16,5.723252256267541e-16,True
GOOGL_QCOM,6.279974706669631e-16,1.141813583030842e-15,True
LIN_VMC,8.983005891093775e-16,1.585236333722431e-15,True
FCX_VMC,1.2825951299244883e-15,2.19873450844198e-15,True
BMY_HUM,1.2825951299244883e-15,2.1376585498741475e-15,True
PG_KMB,1.827939668482263e-15,2.9642264894306967e-15,True
NVDA_AVGO,1.827939668482263e-15,2.8862205291825205e-15,True
CMCSA_CCI,1.827939668482263e-15,2.812214874588097e-15,True
FCX_MLM,2.6003915929054127e-15,3.900587389358119e-15,True
MCD_KMB,3.692500199592863e-15,5.403658828672483e-15,True
UNH_TMO,5.2336832228134895e-15,7.476690318304985e-15,True
AEP_FE,5.2336832228134895e-15,7.302813799274637e-15,True
AVGO_IBM,7.404567903658956e-15,1.0097138050444031e-14,True
DE_EMR,1.045677201812223e-14,1.394236269082964e-14,True
AEP_SRE,1.4740134245866415e-14,1.9226262059825758e-14,True
CMCSA_AMT,1.4740134245866415e-14,1.881719265429755e-14,True
EXC_SRE,4.083669419831662e-14,5.104586774789578e-14,True
NVDA_IBM,5.714527814333125e-14,6.997380997142602e-14,True
FCX_SHW,7.982101085339781e-14,9.578521302407737e-14,True
USB_TFC,2.1516559401001197e-13,2.5313599295295527e-13,True
SRE_ED,2.9835991796515434e-13,3.442614438059473e-13,True
NOC_EMR,4.129680134374835e-13,4.675109586084718e-13,True
JNJ_UNH,5.705594012291659e-13,6.339548902546288e-13,True
CAT_EMR,1.4883587224572345e-12,1.6236640608624375e-12,True
VZ_AMT,9.642325582753724e-12,1.033106312437899e-11,True
SBUX_KMB,1.3081690670325918e-11,1.377020070560623e-11,True
PNC_SCHW,7.852256105571386e-11,8.12302355748764e-11,True
GOOGL_AMD,2.501057824267449e-10,2.543448634848253e-10,True
ORCL_AVGO,1.0217178048524553e-09,1.0217178048524553e-09,True
