Rank,Pair,Sector,Health_Score,Is_Healthy,Eligible,Selected,Recent_Healthy_Pct,ADF_pval,Hurst,Coint_pval
1,HON_DE,Industrials,0.6029523267916042,True,True,True,49.2063492063492,0.002966441743267313,0.983608312619122,0.01614786021925146
2,EOG_OXY,Energy,0.5679078166828192,True,True,True,9.523809523809524,0.016820286687856262,0.9229119115290886,0.012807368307297982
3,JPM_BAC,Banking,0.5462408969606923,True,True,True,33.33333333333333,0.020724652640577903,0.9977662635523985,0.015403078271214421
4,WMT_TGT,Consumer,0.3745355339749136,False,False,False,7.936507936507936,0.021364386089031243,0.9280640624270929,0.06627495371849468
5,NVDA_AMD,Tech,0.3176473543910525,False,False,False,0.0,0.1584354310572869,1.0,0.00470579368268424
6,ABBV_LLY,Healthcare,0.30767095911919845,False,False,False,0.0,0.39631405748033405,0.9938128994336052,0.0076987122642404645
7,FCX_NEM,Materials,0.29176079655996523,False,False,False,0.0,0.6069799738475004,1.0,0.012471761032010429
8,USB_TFC,Banking,0.18340753903492238,False,False,False,0.0,0.05514298429301675,0.9300195319584464,0.08983475399650653
9,PFE_MRK,Healthcare,0.18203392421271838,False,False,False,26.984126984126984,0.05965365479927219,0.9477005329891911,0.0857361679369123
10,JNJ_UNH,Healthcare,0.10039408494989517,False,False,False,0.0,0.8713842873676887,1.0,0.06988177451503146
11,MCD_SBUX,Consumer,0.07836988936406308,False,False,False,7.936507936507936,0.5344193784053256,0.9319310530020213,0.07648903319078108
12,TMUS_CHTR,Telecom,0.05389042142347226,False,False,False,0.0,0.25582070487542036,1.0,0.08383287357295832
13,MSFT_ORCL,Tech,0.00408501789635259,False,False,False,0.0,0.09877449463109422,1.0,0.3146228320816852
14,BAC_PNC,Banking,0.0,False,False,False,0.0,0.8470079466123912,1.0,0.6755548738485246
15,GS_MS,Banking,0.0,False,False,False,0.0,0.4893667528160027,1.0,0.6734467453244082
16,C_WFC,Banking,0.0,False,False,False,7.936507936507936,0.7449542518512557,1.0,0.9210132481152806
17,LIN_VMC,Materials,0.0,False,False,False,0.0,0.7794050177635377,1.0,0.9321282972402264
18,VMC_MLM,Materials,0.0,False,False,False,7.936507936507936,0.10729038621866227,0.8971890414428889,0.19018068730660925
19,LIN_APD,Materials,0.0,False,False,False,0.0,0.5099886586330825,0.9942709416333522,0.4401403133489436
20,GOOGL_AMD,Tech,0.0,False,False,False,0.0,0.5415151973437612,0.9891527139252234,0.8410956204131138
21,INTC_AMD,Tech,0.0,False,False,False,0.0,0.39824251662639587,0.9606532618264478,0.5942308543715794
22,ABT_TMO,Healthcare,0.0,False,False,False,19.047619047619047,0.7622241088226267,1.0,0.9022814797410554
23,AEP_SRE,Utilities,0.0,False,False,False,0.0,0.9670957800455737,1.0,0.6285132541905218
24,NEE_DUK,Utilities,0.0,False,False,False,0.0,0.279455057907133,0.997787571672869,0.3813201670725149
25,SO_D,Utilities,0.0,False,False,False,0.0,0.6763566375675841,1.0,0.7277265487325134
26,EXC_XEL,Utilities,0.0,False,False,False,0.0,0.5413790908831406,0.9954012127216588,0.19548122017006658
27,KO_COST,Consumer,0.0,False,False,False,0.0,0.7198565822559653,1.0,0.5675456936239629
28,KO_PEP,Consumer,0.0,False,False,False,0.0,0.713486881934017,1.0,0.24098432229233546
29,CVX_COP,Energy,0.0,False,False,False,0.0,0.2658384069601346,1.0,0.3158352650208476
30,XOM_CVX,Energy,0.0,False,False,False,0.0,0.32423787071207444,0.977794579039802,0.6022873824052632
31,SLB_HAL,Energy,0.0,False,False,False,0.0,0.5323598163663665,1.0,0.2042788589979509
32,CAT_DE,Industrials,0.0,False,False,False,0.0,0.20266661772874212,1.0,0.14841829426691
33,UPS_GE,Industrials,0.0,False,False,False,0.0,0.6500504209625839,1.0,0.6785133259408747
34,BA_LMT,Industrials,0.0,False,False,False,0.0,0.21615596065149312,1.0,0.4329240993746296
35,T_VZ,Telecom,0.0,False,False,False,0.0,0.14328921576348103,1.0,0.585651848231746
36,HD_LOW,Retail,0.0,False,False,False,0.0,0.5674325490846013,1.0,0.7748111762230727
37,TJX_ROST,Retail,0.0,False,False,False,0.0,0.955849438535919,0.9965725538543186,0.6246876789466445
38,DG_DLTR,Retail,0.0,False,False,False,0.0,0.9039738327533375,1.0,0.6745211344506628
