Sector,Ticker,Data_Days,Start_Date,End_Date,Sufficient_Data
Banking,JPM,2637,2015-01-02,2025-06-27,True
Banking,BAC,2637,2015-01-02,2025-06-27,True
Banking,WFC,2637,2015-01-02,2025-06-27,True
Banking,C,2637,2015-01-02,2025-06-27,True
Banking,GS,2637,2015-01-02,2025-06-27,True
Banking,MS,2637,2015-01-02,2025-06-27,True
Banking,USB,2637,2015-01-02,2025-06-27,True
Banking,PNC,2637,2015-01-02,2025-06-27,True
Banking,TFC,2637,2015-01-02,2025-06-27,True
Banking,BK,2637,2015-01-02,2025-06-27,True
Banking,SCHW,2637,2015-01-02,2025-06-27,True
Banking,STT,2637,2015-01-02,2025-06-27,True
Banking,BLK,2637,2015-01-02,2025-06-27,True
Banking,AXP,2637,2015-01-02,2025-06-27,True
Tech,AAPL,2637,2015-01-02,2025-06-27,True
Tech,MSFT,2637,2015-01-02,2025-06-27,True
Tech,GOOGL,2637,2015-01-02,2025-06-27,True
Tech,NVDA,2637,2015-01-02,2025-06-27,True
Tech,AMD,2637,2015-01-02,2025-06-27,True
Tech,INTC,2637,2015-01-02,2025-06-27,True
Tech,ORCL,2637,2015-01-02,2025-06-27,True
Tech,CRM,2637,2015-01-02,2025-06-27,True
Tech,ADBE,2637,2015-01-02,2025-06-27,True
Tech,AVGO,2637,2015-01-02,2025-06-27,True
Tech,QCOM,2637,2015-01-02,2025-06-27,True
Tech,CSCO,2637,2015-01-02,2025-06-27,True
Tech,IBM,2637,2015-01-02,2025-06-27,True
Consumer,PG,2637,2015-01-02,2025-06-27,True
Consumer,KO,2637,2015-01-02,2025-06-27,True
Consumer,PEP,2637,2015-01-02,2025-06-27,True
Consumer,WMT,2637,2015-01-02,2025-06-27,True
Consumer,TGT,2637,2015-01-02,2025-06-27,True
Consumer,COST,2637,2015-01-02,2025-06-27,True
Consumer,MCD,2637,2015-01-02,2025-06-27,True
Consumer,SBUX,2637,2015-01-02,2025-06-27,True
Consumer,CL,2637,2015-01-02,2025-06-27,True
Consumer,KMB,2637,2015-01-02,2025-06-27,True
Consumer,MDLZ,2637,2015-01-02,2025-06-27,True
Consumer,PM,2637,2015-01-02,2025-06-27,True
Consumer,MO,2637,2015-01-02,2025-06-27,True
Energy,XOM,2637,2015-01-02,2025-06-27,True
Energy,CVX,2637,2015-01-02,2025-06-27,True
Energy,COP,2637,2015-01-02,2025-06-27,True
Energy,SLB,2637,2015-01-02,2025-06-27,True
Energy,EOG,2637,2015-01-02,2025-06-27,True
Energy,OXY,2637,2015-01-02,2025-06-27,True
Energy,HAL,2637,2015-01-02,2025-06-27,True
Energy,PSX,2637,2015-01-02,2025-06-27,True
Energy,MPC,2637,2015-01-02,2025-06-27,True
Energy,VLO,2637,2015-01-02,2025-06-27,True
Energy,DVN,2637,2015-01-02,2025-06-27,True
Energy,KMI,2637,2015-01-02,2025-06-27,True
Energy,WMB,2637,2015-01-02,2025-06-27,True
Healthcare,JNJ,2637,2015-01-02,2025-06-27,True
Healthcare,UNH,2637,2015-01-02,2025-06-27,True
Healthcare,PFE,2637,2015-01-02,2025-06-27,True
Healthcare,ABBV,2637,2015-01-02,2025-06-27,True
Healthcare,MRK,2637,2015-01-02,2025-06-27,True
Healthcare,TMO,2637,2015-01-02,2025-06-27,True
Healthcare,ABT,2637,2015-01-02,2025-06-27,True
Healthcare,LLY,2637,2015-01-02,2025-06-27,True
Healthcare,BMY,2637,2015-01-02,2025-06-27,True
Healthcare,GILD,2637,2015-01-02,2025-06-27,True
Healthcare,AMGN,2637,2015-01-02,2025-06-27,True
Healthcare,CVS,2637,2015-01-02,2025-06-27,True
Healthcare,HUM,2637,2015-01-02,2025-06-27,True
Industrials,BA,2637,2015-01-02,2025-06-27,True
Industrials,HON,2637,2015-01-02,2025-06-27,True
Industrials,UPS,2637,2015-01-02,2025-06-27,True
Industrials,CAT,2637,2015-01-02,2025-06-27,True
Industrials,MMM,2637,2015-01-02,2025-06-27,True
Industrials,GE,2637,2015-01-02,2025-06-27,True
Industrials,DE,2637,2015-01-02,2025-06-27,True
Industrials,LMT,2637,2015-01-02,2025-06-27,True
Industrials,GD,2637,2015-01-02,2025-06-27,True
Industrials,RTX,2637,2015-01-02,2025-06-27,True
Industrials,NOC,2637,2015-01-02,2025-06-27,True
Industrials,EMR,2637,2015-01-02,2025-06-27,True
Industrials,ITW,2637,2015-01-02,2025-06-27,True
Materials,LIN,2637,2015-01-02,2025-06-27,True
Materials,APD,2637,2015-01-02,2025-06-27,True
Materials,ECL,2637,2015-01-02,2025-06-27,True
Materials,DD,2637,2015-01-02,2025-06-27,True
Materials,NEM,2637,2015-01-02,2025-06-27,True
Materials,FCX,2637,2015-01-02,2025-06-27,True
Materials,VMC,2637,2015-01-02,2025-06-27,True
Materials,MLM,2637,2015-01-02,2025-06-27,True
Materials,DOW,1578,2019-03-20,2025-06-27,True
Materials,NUE,2637,2015-01-02,2025-06-27,True
Materials,ALB,2637,2015-01-02,2025-06-27,True
Materials,SHW,2637,2015-01-02,2025-06-27,True
Utilities,NEE,2637,2015-01-02,2025-06-27,True
Utilities,DUK,2637,2015-01-02,2025-06-27,True
Utilities,SO,2637,2015-01-02,2025-06-27,True
Utilities,D,2637,2015-01-02,2025-06-27,True
Utilities,AEP,2637,2015-01-02,2025-06-27,True
Utilities,EXC,2637,2015-01-02,2025-06-27,True
Utilities,SRE,2637,2015-01-02,2025-06-27,True
Utilities,XEL,2637,2015-01-02,2025-06-27,True
Utilities,ED,2637,2015-01-02,2025-06-27,True
Utilities,ETR,2637,2015-01-02,2025-06-27,True
Utilities,FE,2637,2015-01-02,2025-06-27,True
Utilities,PEG,2637,2015-01-02,2025-06-27,True
Telecom,T,2637,2015-01-02,2025-06-27,True
Telecom,VZ,2637,2015-01-02,2025-06-27,True
Telecom,TMUS,2637,2015-01-02,2025-06-27,True
Telecom,CHTR,2637,2015-01-02,2025-06-27,True
Telecom,CMCSA,2637,2015-01-02,2025-06-27,True
Telecom,DISH,0,,,False
Telecom,AMT,2637,2015-01-02,2025-06-27,True
Telecom,CCI,2637,2015-01-02,2025-06-27,True
Telecom,SBAC,2637,2015-01-02,2025-06-27,True
Retail,HD,2637,2015-01-02,2025-06-27,True
Retail,LOW,2637,2015-01-02,2025-06-27,True
Retail,TJX,2637,2015-01-02,2025-06-27,True
Retail,ROST,2637,2015-01-02,2025-06-27,True
Retail,DG,2637,2015-01-02,2025-06-27,True
Retail,DLTR,2637,2015-01-02,2025-06-27,True
Retail,BBY,2637,2015-01-02,2025-06-27,True
Retail,GPS,0,,,False
Retail,KSS,2637,2015-01-02,2025-06-27,True
Retail,M,2637,2015-01-02,2025-06-27,True
Retail,KR,2637,2015-01-02,2025-06-27,True
Retail,WBA,0,,,False
