Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Return_%,Ann_Return_%,Sharpe,Max_DD_%,Win_Rate_%
1,2015-01-02,2016-12-30,2017-01-03,2017-07-03,504,126,6.928296435418391,14.336605785807087,1.229624303860124,-2.8066117446774275,9.523809523809524
2,2015-01-02,2017-04-03,2017-04-04,2017-10-02,567,126,3.918021320670917,7.989551552034158,0.6391813591689721,-4.596573475255612,8.73015873015873
3,2015-01-02,2017-07-03,2017-07-05,2018-01-02,630,126,-0.35158073994704386,-0.7019253897270761,-0.08628447577067107,-2.937309650558695,7.936507936507936
4,2015-01-02,2017-10-02,2017-10-03,2018-04-04,693,126,1.6123108841472167,3.25061723216582,0.32492394252738266,-5.01561230102999,12.698412698412698
5,2015-01-02,2018-01-02,2018-01-03,2018-07-03,756,126,-3.3085992007161558,-6.507730114722521,-0.6248384228435493,-10.274963129632965,16.666666666666664
6,2015-01-02,2018-04-04,2018-04-05,2018-10-02,819,126,0.4804030436666107,0.9631139581768533,0.11744304108237949,-6.9629540391677125,14.285714285714285
7,2015-01-02,2018-07-03,2018-07-05,2019-01-03,882,126,-4.965750495153598,-9.684914210506012,-0.6427309491219693,-13.770880872807666,16.666666666666664
8,2015-01-02,2018-10-02,2018-10-03,2019-04-04,945,126,0.19052859969796998,0.3814202108689768,0.020901487160323036,-14.041488277045428,23.809523809523807
9,2015-01-02,2019-01-03,2019-01-04,2019-07-05,1008,126,-4.326921413357432,-8.466620337541153,-0.2806581104562927,-27.640952785461813,26.984126984126984
10,2015-01-02,2019-04-04,2019-04-05,2019-10-03,1071,126,-33.11897678621703,-55.26928733877424,-1.4804036765493513,-46.524634612547715,19.047619047619047
11,2015-01-02,2019-07-05,2019-07-08,2020-01-03,1134,126,-4.526770464317586,-8.84862442026899,-0.18602629372140778,-26.746336981347675,15.079365079365079
12,2015-01-02,2019-10-03,2019-10-04,2020-04-03,1197,126,-61.02702424469042,-84.81107160776051,-0.3943624584357259,-85.536543154148,20.634920634920633
13,2015-01-02,2020-01-03,2020-01-06,2020-07-06,1260,126,-91.42148329114424,-99.26409051075883,-0.2971708905070904,-94.83593373065213,22.22222222222222
14,2015-01-02,2020-04-03,2020-04-06,2020-10-02,1323,126,-90.66389642712484,-99.12837170076547,-0.43234746142868136,-95.98519510666833,11.904761904761903
15,2015-01-02,2020-07-06,2020-07-07,2021-01-04,1386,126,-100.65911654646999,-99.9956556537817,-0.37481125547507416,-109.09921581272309,15.079365079365079
16,2015-01-02,2020-10-02,2020-10-05,2021-04-06,1449,126,-105.97881732273697,-99.64253743421341,-0.3901023718957399,-131.2500848416973,18.253968253968253
17,2015-01-02,2021-01-04,2021-01-05,2021-07-06,1512,126,1.8218693492499494,3.676930777757259,0.04181603002960665,-43.57804809527165,13.492063492063492
18,2015-01-02,2021-04-06,2021-04-07,2021-10-04,1575,126,-32.94287618815039,-55.03342146082273,-0.5945829503932264,-52.202128200395,15.079365079365079
19,2015-01-02,2021-07-06,2021-07-07,2022-01-03,1638,126,2.6189850810784954,5.3065609907060995,0.055858915088584586,-29.354223205250445,25.396825396825395
20,2015-01-02,2021-10-04,2021-10-05,2022-04-04,1701,126,-78.88481218166066,-95.54148843396254,-0.7139839121708648,-87.09282967326916,26.984126984126984
21,2015-01-02,2022-01-03,2022-01-04,2022-07-06,1764,126,-85.2388763829167,-97.82109229561186,-0.8298495188455121,-80.88985377303766,13.492063492063492
22,2015-01-02,2022-04-04,2022-04-05,2022-10-04,1827,126,-32.40243442743163,-54.305691286623194,-1.1470123197777937,-37.91746720264654,7.936507936507936
23,2015-01-02,2022-07-06,2022-07-07,2023-01-04,1890,126,-1.69135131063064,-3.3540959287015615,-0.10133158515721309,-14.552334134354815,7.142857142857142
24,2015-01-02,2022-10-04,2022-10-05,2023-04-05,1953,126,-6.779694780506629,-13.09974694784497,-0.4378174366704352,-23.66812482651488,9.523809523809524
25,2015-01-02,2023-01-04,2023-01-05,2023-07-07,2016,126,-4.812306029492697,-9.393029165770471,-0.34848684489639353,-22.537713935189828,12.698412698412698
26,2015-01-02,2023-04-05,2023-04-06,2023-10-05,2079,126,3.2695555587243685,6.646011052964584,0.2238174446343136,-14.776940324001098,19.047619047619047
27,2015-01-02,2023-07-07,2023-07-10,2024-01-05,2142,126,12.622968188721039,26.839329636376718,0.802443137482415,-14.776940324001092,19.047619047619047
28,2015-01-02,2023-10-05,2023-10-06,2024-04-08,2205,126,13.928469276384181,29.79696111660015,1.1820236520997562,-12.817741244167156,14.285714285714285
29,2015-01-02,2024-01-05,2024-01-08,2024-07-09,2268,126,-16.113431497886722,-29.630436249402557,-1.4489161501580303,-20.468292066650374,19.841269841269842
30,2015-01-02,2024-04-08,2024-04-09,2024-10-07,2331,126,-25.405233474760802,-44.356208070450535,-2.153549782771408,-26.175128364822058,12.698412698412698
31,2015-01-02,2024-07-09,2024-07-10,2025-01-07,2394,126,-0.3587032008387503,-0.7161197218145787,-0.03559040909127352,-15.107113562004049,7.142857142857142
32,2015-01-02,2024-10-07,2024-10-08,2025-04-09,2457,126,-15.613587347897074,-28.789333597090028,-0.4404970261716824,-45.38547511911135,10.317460317460316
