Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Return_%,Ann_Return_%,Sharpe,Max_DD_%,Win_Rate_%
1,2015-01-02,2016-12-30,2017-01-03,2017-07-03,504,126,6.832742848613327,14.132349445579418,1.1690079230448656,-5.654200633088243,15.079365079365079
2,2015-01-02,2017-04-03,2017-04-04,2017-10-02,567,126,-3.885682966914028,-7.620380612634403,-0.6565744518639165,-9.346271276427062,15.873015873015872
3,2015-01-02,2017-07-03,2017-07-05,2018-01-02,630,126,-5.305252673326444,-10.329048287374508,-1.186874751245522,-8.530567467594448,13.492063492063492
4,2015-01-02,2017-10-02,2017-10-03,2018-04-04,693,126,-7.216440118803547,-13.912110157724323,-1.1577032958132778,-8.407769444036383,13.492063492063492
5,2015-01-02,2018-01-02,2018-01-03,2018-07-03,756,126,-10.378240480074252,-19.679402205525985,-1.5299507760642546,-12.762592050009935,13.492063492063492
6,2015-01-02,2018-04-04,2018-04-05,2018-10-02,819,126,-0.7121090674095276,-1.4191471415801904,-0.1673059326906112,-6.460812656051895,13.492063492063492
7,2015-01-02,2018-07-03,2018-07-05,2019-01-03,882,126,6.087205359853853,12.544951410638049,1.5744117977869108,-3.728383522558687,14.285714285714285
8,2015-01-02,2018-10-02,2018-10-03,2019-04-04,945,126,3.5768059073191916,7.281547219624729,0.5567777984800276,-6.649726427622317,11.904761904761903
9,2015-01-02,2019-01-03,2019-01-04,2019-07-05,1008,126,-8.869671785223476,-16.952632794671064,-0.9883970268494863,-18.71696325184217,11.11111111111111
10,2015-01-02,2019-04-04,2019-04-05,2019-10-03,1071,126,-16.035061405229957,-29.49889086776496,-2.2643438295655813,-15.772720141543209,7.936507936507936
11,2015-01-02,2019-07-05,2019-07-08,2020-01-03,1134,126,-3.968829929292439,-7.780143748508406,-0.9212149063129286,-6.7705373401005575,13.492063492063492
12,2015-01-02,2019-10-03,2019-10-04,2020-04-03,1197,126,-8.198220792752542,-15.724333343837882,-1.6059828659352111,-12.091622187028129,6.349206349206349
13,2015-01-02,2020-01-03,2020-01-06,2020-07-06,1260,126,12.223901046041208,25.94203965991648,1.4161872815215375,-10.700306976959379,10.317460317460316
14,2015-01-02,2020-04-03,2020-04-06,2020-10-02,1323,126,33.96790063076909,79.47398399415621,4.356393169015274,-3.355294026028631,14.285714285714285
15,2015-01-02,2020-07-06,2020-07-07,2021-01-04,1386,126,5.818350050884957,11.975232074916242,0.5442869201995554,-14.2091928194705,17.46031746031746
16,2015-01-02,2020-10-02,2020-10-05,2021-04-06,1449,126,3.886046280867439,7.923106118705325,0.3227489067992002,-14.209177862587541,23.015873015873016
17,2015-01-02,2021-01-04,2021-01-05,2021-07-06,1512,126,9.959421493934428,20.91074375280728,1.3083184877717118,-6.196673166091156,16.666666666666664
18,2015-01-02,2021-04-06,2021-04-07,2021-10-04,1575,126,5.490470732926722,11.282394154544683,0.781556019180221,-10.21982471099864,18.253968253968253
19,2015-01-02,2021-07-06,2021-07-07,2022-01-03,1638,126,-2.399465253442612,-4.741356171860445,-0.2757710788642306,-10.40516139970551,19.047619047619047
20,2015-01-02,2021-10-04,2021-10-05,2022-04-04,1701,126,-9.104271624363335,-17.379665630624796,-1.0073932646963575,-20.137750277307923,13.492063492063492
21,2015-01-02,2022-01-03,2022-01-04,2022-07-06,1764,126,-9.222706353666876,-17.59482958247408,-1.1599420639617235,-11.680040230740033,11.904761904761903
22,2015-01-02,2022-04-04,2022-04-05,2022-10-04,1827,126,-1.599669348094268,-3.173749275956217,-0.3103734407565537,-5.940912272058648,12.698412698412698
23,2015-01-02,2022-07-06,2022-07-07,2023-01-04,1890,126,0.6797398653653808,1.364100193576423,0.17441832131596097,-2.809081868052498,14.285714285714285
24,2015-01-02,2022-10-04,2022-10-05,2023-04-05,1953,126,-2.752421471316635,-5.429084703075626,-0.3958248374691609,-9.802665222085992,14.285714285714285
25,2015-01-02,2023-01-04,2023-01-05,2023-07-07,2016,126,-6.457295806315644,-12.497624921328676,-0.76774941873838,-10.793016288904036,13.492063492063492
26,2015-01-02,2023-04-05,2023-04-06,2023-10-05,2079,126,-4.894557540725208,-9.549548146255715,-0.7356235063817184,-11.0390071109708,13.492063492063492
27,2015-01-02,2023-07-07,2023-07-10,2024-01-05,2142,126,-2.0445658327360006,-4.047329171028091,-0.40442344873400243,-6.387792191710139,11.904761904761903
28,2015-01-02,2023-10-05,2023-10-06,2024-04-08,2205,126,-15.056341922295168,-27.845749523779705,-1.9572734052411223,-19.783749807907363,19.841269841269842
29,2015-01-02,2024-01-05,2024-01-08,2024-07-09,2268,126,-7.4327839179677335,-14.313105068223464,-0.9563280247696347,-19.4989816707105,21.428571428571427
30,2015-01-02,2024-04-08,2024-04-09,2024-10-07,2331,126,26.799098359923114,60.780113448894554,5.081056972327441,-3.763855486010883,18.253968253968253
31,2015-01-02,2024-07-09,2024-07-10,2025-01-07,2394,126,22.143942784026116,49.191427588274465,4.4142540160711965,-2.4970884167868603,19.841269841269842
32,2015-01-02,2024-10-07,2024-10-08,2025-04-09,2457,126,-0.41176624105774273,-0.8218369677427395,-0.08317774006573224,-6.5713418307519085,14.285714285714285
